max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.10577574525745259,0.08055555555555556
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.10577574525745259,0.08055555555555556
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.6506629887727449,0.5972222222222222
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.10577574525745259,0.08055555555555556
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.10577574525745259,0.08055555555555556
15,0.99,0.0,0.01,0.01,0.01,0.8844754161827332,0.875
15,0.98,0.0,0.15,0.24,0.05,0.5670513937282229,0.46944444444444444
11,0.89,0.0,0.22,0.12,0.1,0.44191347270615566,0.4361111111111111
15,0.99,0.0,0.01,0.99,0.49,0.10577574525745259,0.08055555555555556
15,0.81,0.0,0.01,0.58,0.01,0.3333212349980642,0.23333333333333334
15,0.99,0.0,0.01,0.5,0.01,0.493348335269067,0.5055555555555555
15,0.01,0.0,0.01,0.01,0.01,0.7668820170344561,0.7611111111111111
15,0.99,0.0,0.01,0.02,0.48,0.4154979674796748,0.42777777777777776
14,0.44,0.0,0.02,0.01,0.02,0.8698485288424314,0.875
12,0.61,0.0,0.12,0.03,0.15,0.6604021486643438,0.6194444444444445
15,0.99,0.0,0.01,0.07,0.1,0.7376234030197445,0.7166666666666667
14,0.99,0.0,0.01,0.01,0.01,0.8844754161827332,0.875
15,0.99,0.0,0.01,0.06,0.01,0.8454945799457994,0.8083333333333333
10,0.76,0.0,0.01,0.01,0.15,0.7070557491289198,0.6555555555555556
15,0.49,0.0,0.01,0.02,0.01,0.9004742547425474,0.8916666666666667
9,0.69,0.0,0.01,0.01,0.01,0.8969875145180023,0.8611111111111112
8,0.63,0.0,0.02,0.01,0.02,0.8587325783972126,0.85
13,0.85,0.0,0.01,0.01,0.01,0.8907278358497871,0.8777777777777778
10,0.68,0.0,0.01,0.01,0.01,0.8956058846302749,0.8888888888888888
14,0.8,0.0,0.01,0.01,0.01,0.8851771196283392,0.8777777777777778
15,0.93,0.0,0.1,0.1,0.1,0.6380928184281843,0.6
8,0.96,0.0,0.01,0.01,0.01,0.8900309717382889,0.8666666666666667
8,0.67,0.0,0.01,0.01,0.01,0.8921264034068912,0.9
11,0.82,0.0,0.01,0.02,0.01,0.8879621564072784,0.8972222222222223
12,0.6,0.0,0.02,0.02,0.01,0.8712664537359659,0.8472222222222222
