2024-11-30 02:19:04 - INFO - ========================================================================================================================================================================================================
2024-11-30 02:19:04 - INFO - Ablating LLAMBO (discriminative | full_context | Shuffle features: False) to tune RandomForest on breast with seed 1 / 1...
2024-11-30 02:19:04 - INFO - Task context: {'model': 'RandomForest', 'task': 'classification', 'tot_feats': 30, 'cat_feats': 0, 'num_feats': 30, 'n_classes': 2, 'metric': 'accuracy', 'lower_is_better': False, 'num_samples': 455, 'hyperparameter_constraints': {'max_depth': ['int', 'linear', [1, 15]], 'max_features': ['float', 'logit', [0.01, 0.99]], 'min_impurity_decrease': ['float', 'linear', [0.0, 0.5]], 'min_samples_leaf': ['float', 'logit', [0.01, 0.49]], 'min_samples_split': ['float', 'logit', [0.01, 0.99]], 'min_weight_fraction_leaf': ['float', 'logit', [0.01, 0.49]]}}
2024-11-30 02:43:29 - INFO - [LLAMBO] Query time: 1458.1417
2024-11-30 02:43:29 - INFO - [LLAMBO | Ablation: full_context | Shuffle features: False] RUN COMPLETE, saved results to /Users/arina/Desktop/phd_project/LLAMBO/exp_prompt_ablation/results_discriminative/breast/RandomForest/full_context_unshuffled_feature_zero_shot_300/...
2024-11-30 02:43:29 - INFO -     max_depth  max_features  ...  generalization_score             0
0           9      0.267459  ...              0.903509  1.000000e+00
1           7      0.602079  ...              0.587719  8.000000e-03
2           9      0.703320  ...              0.903509  0.000000e+00
3          12      0.544787  ...              0.587719  5.468750e-02
4           3      0.189256  ...              0.587719  4.687500e-02
5          11      0.830000  ...              0.587719  7.812500e-03
6          10      0.731000  ...              0.938596  3.906250e-02
7           8      0.619000  ...              0.894737  3.946496e-16
8          11      0.785154  ...              0.885965  3.125000e-02
9          10      0.835000  ...              0.894737  0.000000e+00
10          7      0.685000  ...              0.938596  1.068702e-01
11          8      0.752000  ...              0.903509  7.633588e-03
12         13      0.857142  ...              0.903509  3.816794e-02
13          6      0.670000  ...              0.903509  8.396947e-02
14          5      0.654321  ...              0.894737  1.221374e-01
15         12      0.822000  ...              0.912281  6.106870e-02
16         11      0.854000  ...              0.921053  7.633588e-02
17         11      0.830000  ...              0.903509  6.106870e-02
18          4      0.756239  ...              0.938596  1.526718e-02
19          6      0.870000  ...              0.912281  3.816794e-02
20          8      0.720000  ...              0.912281  5.343511e-02
21          9      0.824000  ...              0.921053  6.870229e-02
22         12      0.848000  ...              0.894737  5.343511e-02
23         10      0.660000  ...              0.912281  6.106870e-02
24         10      0.694000  ...              0.903509  1.145038e-01
25          8      0.780000  ...              0.929825           NaN
26         10      0.650000  ...              0.912281           NaN
27          6      0.648000  ...              0.912281           NaN
28         11      0.810000  ...              0.894737           NaN
29         12      0.840000  ...              0.921053           NaN

[30 rows x 9 columns]
2024-11-30 02:43:29 - INFO - ========================================================================================================================================================================================================
2024-11-30 02:43:29 - INFO - [LLAMBO | Ablation: full_context | Shuffle features: False] 1 evaluation runs complete!
