max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score,0
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.9098901098901099,0.9035087719298246,1.0
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.6373626373626373,0.5877192982456141,0.00799999999999997
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.9120879120879121,0.9035087719298246,0.0
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.6373626373626373,0.5877192982456141,0.05468750000000018
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.6373626373626373,0.5877192982456141,0.04687499999999981
11,0.83,0.0,0.46,0.56,0.38,0.6373626373626373,0.5877192982456141,0.007812499999999969
10,0.731,0.0,0.138,0.419,0.288,0.9098901098901099,0.9385964912280702,0.03906250000000024
8,0.619,0.0,0.245,0.301,0.411,0.9186813186813187,0.8947368421052632,3.9464959078472347e-16
11,0.785154,0.0,0.259321,0.504282,0.407655,0.9032967032967033,0.8859649122807017,0.03125000000000027
10,0.835,0.0,0.292,0.472,0.436,0.9054945054945056,0.8947368421052632,0.0
7,0.685,0.0,0.197,0.461,0.324,0.9164835164835166,0.9385964912280702,0.10687022900763356
8,0.752,0.0,0.256,0.482,0.378,0.9076923076923077,0.9035087719298246,0.007633587786259512
13,0.857142,0.0,0.246914,0.517857,0.378947,0.9186813186813186,0.9035087719298246,0.03816793893129795
6,0.67,0.0,0.17,0.34,0.23,0.9098901098901099,0.9035087719298246,0.08396946564885502
5,0.654321,0.0,0.235432,0.473129,0.314159,0.9252747252747253,0.8947368421052632,0.12213740458015258
12,0.822,0.0,0.287,0.492,0.418,0.8945054945054945,0.9122807017543859,0.061068702290076486
11,0.854,0.0,0.245,0.514,0.369,0.9230769230769231,0.9210526315789473,0.0763358778625955
11,0.83,0.0,0.23,0.55,0.39,0.9142857142857143,0.9035087719298246,0.061068702290076486
4,0.756239,0.0,0.149231,0.398195,0.289455,0.9010989010989011,0.9385964912280702,0.015267175572519024
6,0.87,0.0,0.28,0.53,0.45,0.8901098901098902,0.9122807017543859,0.038167938931297565
8,0.72,0.0,0.25,0.49,0.34,0.9076923076923077,0.9122807017543859,0.05343511450381697
9,0.824,0.0,0.276,0.484,0.416,0.9032967032967033,0.9210526315789473,0.06870229007633599
12,0.848,0.0,0.245,0.509,0.424,0.9076923076923077,0.8947368421052632,0.05343511450381697
10,0.66,0.0,0.22,0.45,0.35,0.9208791208791209,0.9122807017543859,0.061068702290076486
10,0.694,0.0,0.256,0.475,0.351,0.9142857142857144,0.9035087719298246,0.11450381679389307
8,0.78,0.0,0.19,0.43,0.31,0.9098901098901099,0.9298245614035088,
10,0.65,0.0,0.29,0.52,0.37,0.9054945054945055,0.9122807017543859,
6,0.648,0.0,0.226,0.455,0.326,0.9098901098901099,0.9122807017543859,
11,0.81,0.0,0.27,0.53,0.4,0.9076923076923077,0.8947368421052632,
12,0.84,0.0,0.28,0.51,0.4,0.8923076923076924,0.9210526315789473,
