max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.10577574525745259,0.08055555555555556,0.3162166085946574,0.31468737901664734,0.2974157955865272,0.2820847851335655,0.2541715060007743,0.2298562717770034,0.2939290553619821,0.2507718737901664,0.2542368370112271,0.25911488579171504,0.22571138211382102,0.251413085559427,0.2471956058846303,0.2298562717770034,0.24170538133952768,0.2542368370112271,0.247236740224545,0.2632960704607046,0.22846254355400686,0.22846254355400686,0.2430894308943089,0.2514445412311266,0.2430894308943089,0.2542368370112271,0.2542368370112271
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.6506629887727449,0.5972222222222222,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.6,0.0,0.04,0.38,0.08,0.5726722802942315,0.5305555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.83,0.0,0.02,0.02,0.3,0.5742015098722415,0.5388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.75,0.0,0.03,0.04,0.24,0.5914730933023616,0.5305555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.73,0.0,0.025,0.028,0.26,0.6068041037553233,0.6138888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.72,0.0,0.02,0.02,0.28,0.6347173828881145,0.5166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.85,0.0,0.01,0.01,0.2,0.6590326171118854,0.5444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.82,0.0,0.03,0.02,0.24,0.5949598335269067,0.5277777777777778,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.86,0.0,0.01,0.01,0.19,0.6381170150987224,0.6027777777777777,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.84,0.0,0.01,0.01,0.21,0.6346520518776617,0.5388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.78,0.0,0.02,0.02,0.23,0.6297740030971738,0.42777777777777776,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.81,0.0,0.02,0.02,0.22,0.6631775067750678,0.6027777777777777,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.817,0.0,0.021,0.021,0.221,0.6374758033294619,0.5611111111111111,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.79,0.0,0.021,0.021,0.223,0.6416932830042585,0.5027777777777778,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.85,0.0,0.01,0.02,0.2,0.6590326171118854,0.5444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.79,0.0,0.02,0.03,0.2,0.6471835075493612,0.5027777777777778,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.83,0.0,0.02,0.02,0.21,0.6346520518776617,0.5388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.835,0.0,0.015,0.015,0.215,0.6416521486643438,0.5472222222222223,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.81,0.0,0.02,0.02,0.23,0.6255928184281843,0.5972222222222222,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.835,0.0,0.02,0.02,0.22,0.660426345334882,0.5722222222222222,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.84,0.0,0.02,0.02,0.22,0.660426345334882,0.5722222222222222,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.82,0.0,0.02,0.02,0.21,0.6457994579945799,0.5166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.848,0.0,0.015,0.025,0.215,0.6374443476577623,0.5055555555555555,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.825,0.0,0.015,0.015,0.21,0.6457994579945799,0.5166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.83,0.0,0.01,0.01,0.21,0.6346520518776617,0.5388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.83,0.0,0.01,0.01,0.21,0.6346520518776617,0.5388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
