max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.10577574525745259,0.08055555555555556,0.39970238095238086,0.2722730352303523,0.4908149438637243,0.7831131436314362,0.43305023228803713,0.39681571815718153,0.32028890824622525,0.30081300813008127,0.4032181571815717,0.34257162214479286,0.39617934572202856,0.29876113046844754,0.3209857723577235,0.40734610917537734,0.2778334301200154,0.3133009097948122,0.40312379016647304,0.4337349980642663,0.2771680216802168,0.3140655245838172,0.30983352690669763,0.2736619241192412,0.2793505613627565,0.30494096012388683,0.2583236546651181
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.6506629887727449,0.5972222222222222,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.83,0.0,0.13,0.23,0.38,0.489186507936508,0.36666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.731,0.0,0.163,0.284,0.314,0.6166158536585366,0.5083333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.78546,0.0,0.23498,0.41992,0.45963,0.3980739450251645,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.917,0.0,0.245,0.812,0.418,0.10577574525745259,0.08055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.657,0.0,0.117,0.462,0.274,0.4558386566008517,0.48333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.818,0.0,0.137,0.409,0.317,0.4920731707317073,0.46944444444444444,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.758,0.0,0.102,0.304,0.278,0.5685999806426636,0.5611111111111111,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.67,0.0,0.18,0.35,0.29,0.5880758807588076,0.5472222222222223,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.782,0.0,0.243,0.494,0.344,0.4856707317073171,0.44166666666666665,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.75,0.0,0.19,0.32,0.3,0.546317266744096,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.74,0.0,0.15,0.29,0.33,0.4927095431668603,0.35555555555555557,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.694,0.0,0.134,0.278,0.325,0.5901277584204413,0.5527777777777778,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.71893,0.0,0.14169,0.29241,0.32315,0.5679031165311653,0.48055555555555557,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.7,0.0,0.142857,0.285714,0.333333,0.4815427797135115,0.37777777777777777,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.696,0.0,0.145,0.288,0.315,0.6110554587688735,0.5194444444444445,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.746329,0.0,0.154219,0.316129,0.314982,0.5755879790940767,0.5222222222222223,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.7199999999999999,0.0,0.13999999999999999,0.29,0.32999999999999996,0.4857650987224158,0.35555555555555557,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.819531,0.0,0.219753,0.497531,0.312194,0.45515389082462254,0.4361111111111111,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.71,0.0,0.18,0.35,0.3,0.611720867208672,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.73,0.0,0.19,0.35,0.31,0.5748233643050716,0.5027777777777778,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.73,0.0,0.2,0.36,0.28,0.5790553619821912,0.5083333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.7,0.0,0.08,0.22,0.29,0.6152269647696477,0.5305555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.81,0.0,0.12,0.32,0.26,0.6095383275261324,0.5944444444444444,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.734,0.0,0.142,0.293,0.316,0.583947928765002,0.5083333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.74,0.0,0.11,0.25,0.29,0.6305652342237708,0.5666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
